	KW	VD	PR1	PR2	PR3	PR4	PR5	PR6	Tier	Avg_tier_height	Vys_1	Vys_2	Vys_3	Vys_4	Vys_5	Vys_6	DM1	DM2	DM3	DM4	DM5	DM6	Age_class	Age_group	Bon	Vyd_reserve	Full
95	2	12	7Е	1С	2Б				1	14	14	15	15				12	14	10				3	2	2	36	0.9
96	2	13	6Е	4Б					1	7	7	8					6	6					2	1	4	3	0.8
97	2	14	4Ос	3Б	3Е				1	25	27	24	23				30	24	24				12	5	2	12	0.4
98	2	15	4Е	2Е	1С	3Б			1	23	20	24	25	25			18	28	32	24			4	2	2	94	0.8
99	2	16	4Е	3Е	1Б	2Ос			1	25	26	21	24	27			28	20	22	28			8	5	3	29	0.6
100	2	17	6Е	4Б					1	14	14	15					12	10					3	2	3	28	0.7
101	2	18	7Б	2Ос	1Е				1	16	16	18	15				10	16	14				4	2	2	60	0.9
102	2	28	5Б	2Ос	3Е				1	19	18	22	17				12	20	16				5	2	2	73	0.8
103	2	29	4Е	2Е	2Б	2Ос			1	24	21	25	24	27			20	26	22	28			4	2	2	19	0.7
104	2	30	5Ос	2Б	3Е				1	26	28	24	23				32	20	20				7	4	1	54	0.7
105	2	31	5Е	4Б	1Ос				1	17	15	18	20				14	12	20				3	2	2	16	0.7
106	2	32	5Е	3Б	2Ос				1	17	15	18	19				14	14	20				3	2	2	95	0.7
107	2	33	7Е	3Б					1	14	14	15					12	10					3	2	2	31	0.8
108	2	34	6Б	2Ос	2Е				1	17	17	19	17				14	16	16				5	2	2	87	0.9
109	2	35	7Е	2Б	1Ос				1	11	11	12	13				10	8	8				2	1	2	18	0.7
110	2	36	7Б	2Ос	1Е				1	20	20	22	19				18	22	18				5	2	2	20	0.7
111	2	37	5Е	3Б	2Ос				1	16	14	18	20				12	12	20				3	2	2	99	0.8
112	2	38	6Б	2Ос	2Е				1	25	24	28	24				24	30	26				9	4	2	60	0.6
113	2	39	6Б	2Ос	2Е				1	23	22	27	20				18	30	18				8	4	3	63	0.8
114	2	40	7Б	2Ос	1Е				1	26	25	28	24				26	32	24				9	4	2	12	0.6
115	2	41	5Е	4Б	1Ос				1	18	17	18	20				16	14	20				3	2	1	51	0.8
116	2	42	6Е	3Б	1Ос				1	16	15	16	17				14	12	16				3	2	2	23	0.8
117	2	43	9Е	1Б					1	18	18	18					16	14					3	2	1	6	0.9
118	2	44	5Е	3Б	2Ос				1	17	15	18	19				14	14	20				3	2	2	22	0.7
119	2	45	8Е	2Б					1	18	18	19					16	14					3	2	1	39	0.9
120	2	46	6Е	3Б	1Ос				1	19	18	19	20				16	14	20				3	2	1	24	0.8
121	2	47	8Е	2Б					1	15	15	16					14	12					3	2	2	43	0.8
122	2	48	5Е	3Б	2Ос				1	15	14	15	16				12	10	10				3	2	2	28	0.8
123	2	49	8Е	2Б					1	15	15	16					14	12					3	2	2	24	0.8
124	2	50	5Е	3Б	2Ос				1	17	15	18	19				14	12	18				3	2	2	38	0.8
125	2	51	6Е	3Б	1Ос				1	15	14	15	16				14	12	14				3	2	2	16	0.6
126	2	52	7Е	3Б					1	13	13	14					12	10					3	2	3	8	0.8
127	2	53	6Е	3Б	1Ос				1	14	13	14	15				12	10	12				3	2	3	4	0.7
128	2	54	4Е	3Е	3Б				1	20	15	23	23				14	26	24				4	2	4	64	0.6
129	2	55	5Е	3Ос	2Б				1	16	15	19	15				14	18	12				3	2	2	33	0.8
130	2	56																									
131	2	57																									
132	3	1	4Е	4Е	2Б				1	23	26	19	24				28	20	26				8	5	3	18	0.6
133	3	2	4Е	3Е	3Б				1	20	16	23	22				16	24	24				5	2	4	64	0.6
134	3	3	4Е	4Е	2Б				1	22	25	19	23				28	18	22				7	4	3	20	0.6
135	3	4	3Е	2Е	5Б				1	21	18	23	22				16	24	24				5	2	4	25	0.6
136	3	5	3Е	3Е	3Б	1Ос			1	24	26	19	24	29			28	20	26	36			8	5	3	57	0.6
137	3	6	6Е	4Б					1	19	19	20					20	22					4	2	3	3	0.3
138	3	7	4Е	3Е	1Б	2Ос			1	25	26	22	24	28			28	20	24	32			8	5	3	49	0.6
139	3	8	5Е	3Е	1Б	1Ос			1	24	26	20	22	27			28	20	22	32			8	5	3	63	0.7
140	3	9	3Е	3Е	3Б	1Ос			1	22	21	19	24	27			24	20	24	32			6	3	4	20	0.6
141	3	10	3Е	2Е	3Ос	2Б			1	24	21	24	27	23			22	28	32	24			6	4	3	22	0.6
142	3	11	5Б	2Ос	3Е				1	24	23	27	24				24	30	26				9	4	3	10	0.6
143	3	12	5Е	4Б	1Ос				1	9	8	9	9				8	8	6				2	1	2	6	0.7
144	3	13	4Е	3Б	3Ос				1	12	11	13	13				12	18	8				2	1	2	6	0.7
145	3	14	6Е	3Б	1Ос				1	11	10	12	12				10	6	6				2	1	3	17	0.7
146	3	15	4Е	4Б	2Ос				1	10	9	10	10				8	6	6				2	1	3	10	0.7
147	3	16	4Ос	2Б	2Е	2Е			1	26	29	26	26	20			32	26	28	20			11	5	1	49	0.6
148	3	17	4Е	3Е	3Б				1	24	26	20	25				28	18	28				8	5	3	38	0.5
149	3	18	5Е	5Б					1	19	18	20					18	22					4	2	3	4	0.3
150	3	19	5Е	3Б	2Ос				1	12	11	12	14				10	6	10				2	1	2	24	0.7
151	3	20	4Е	2Е	2Б	2Ос			1	25	25	20	25	28			24	20	24	32			6	4	3	31	0.6
152	3	21	5Е	5Б					1	7	6	7					6	4					2	1	4	8	0.8
153	3	22	6Е	1С	3Б				1	7	7	9	7				6	10	4				2	1	4	29	0.8
154	3	23	6Е	3Б	1Ос				1	17	17	18	18				16	14	18				3	2	2	41	0.9
155	3	24	4Е	4Б	2Ос				1	11	9	12	13				10	8	10				2	1	3	21	0.7
156	3	25	5Е	5Б					1	7	6	7					6	4					2	1	4	3	0.6
157	3	26	10Е						1	-													1	1	3		60
158	3	27	9Б	1Е					1	4	4	2.0					2						1	1	3	6	1.0
159	3	28	6Б	3Ос	1Е				1	18	18	19	17				14	16	14				5	2	2	32	0.9
160	3	29	6Е	3Б	1Ос				1	17	17	18	18				16	14	16				3	2	2	38	0.9
161	3	30	5Е	2Б	3Ос				1	21	20	19	25				18	18	28				4	2	3	16	0.6
162	3	31	4Е	3Б	3Ос				1	14	12	14	16				12	10	14				2	1	2	85	0.8
163	3	32	6Б	2Ос	2Е				1	18	18	19	16				14	16	14				4	2	2	154	0.9
164	3	33	4Е	2Е	4Б				1	26	25	28	26				26	30	24				5	3	2	82	0.6
165	3	34	5Е	2Е	1Б	2Ос			1	22	19	24	25	26			18	26	24	28			4	2	2	110	0.6
166	3	35	5Ос	3Б	2Е				1	28	29	26	26				36	24	26				10	5	1	45	0.6
167	3	36	10Ос						1	19	19						18						5	3	2	53	0.9
168	3	37	7Б	1Ос	2Е				1	23	22	25	23				20	28	24				8	4	3	24	0.8
169	3	38	4Е	3Е	3Б				1	20	15	24	24				14	28	24				4	2	4	98	0.6
170	3	39	4Е	2Е	2Б	2Ос			1	25	23	27	25	27			22	30	22	28			4	2	2	114	0.6
171	3	40	8Е	1Б	1Олс				1	4	4	4	4				4	2	2				1	1	3	2	0.4
172	3	41	4Б	3Ос	3Е				1	27	26	29	26				26	32	26				11	5	2	14	0.5
173	3	42	5Е	4Б	1Ос				1	7	1.0	13	14				10	10	10				2	1	3	4	0.8
174	3	43	5Е	5Б					1	20	18	22					20	20					4	2	3	21	0.6
175	3	44	7Б	1Ос	2Е				1	22	22	24	23				22	24	22				8	4	3	20	0.6
176	3	45	6Ос	2Б	2Е				1	29	31	27	27				32	26	28				11	5	1	109	0.7
177	3	46																									
178	3	47																									
179	4	1	5Б	2Ос	1Олс	2Е			1	20	20	24	18	19			16	22	18	18			5	2	2	45	0.8
180	4	2	7Ос	2Б	1Е				1	29	30	26	27				36	22	28				9	5	1	100	0.6
181	4	3	5Е	3Б	2Олс				1	15	13	16	16				12	12	12				2	1	2	2	0.4
182	4	4	5Е	2Е	2Б	1Ос			1	28	29	25	25	30			32	24	22	40			7	4	2	20	0.6
183	4	5	7Б	2Ос	1Е				1	19	18	20	20				14	18	22				5	2	2	15	0.7
184	4	6	5Е	3Ос	2Б				1	20	16	24	22				16	24	20				3	2	3	16	0.3
185	4	7	5Е	2Е	2Б				1	28	30	23	26				36	22	24				8	5	2	136	0.5
186	4	8	5Ос	3Б	2Е				1	27	29	26	22				32	24	20				10	5	1	99	0.4
187	4	9	6Е	2Б	2Ос				1	27	27	25	29				28	22	30				6	4	2	212	0.8
188	4	10	4Е	4Е	2Б				1	27	29	26	26				32	24	24				8	5	2	26	0.7
189	4	11	3Е	3Е	2Ос	2Б			1	28	29	26	32	27			32	24	40	24			8	5	2	180	0.6
190	4	12	6Е	2Б	2Ос				1	3	3	2.0	2.0				4						1	1	2		0.5
191	4	13	6Б	2Олс	2Е				1	20	19	19	24				16	16	26				5	2	2	6	0.7
192	4	14	8Е	2Б					1	26	26	24					24	24					5	3	2	153	0.8
193	4	15	6Е	2Б	2Ос				1	23	22	22	25				20	18	28				4	2	2	7	0.3
194	4	16	6Е	3Ос	1Б				1	28	27	29	26				26	32	22				6	4	2	74	0.7
195	4	17	7Б	3Ос					1	26	25	29					24	32					9	4	2	25	0.7
196	4	18	9Ос	1Б					1	30	30	26					36	24					11	5	1	58	0.7
197	4	19	5Е	3Б	2Ос				1	26	25	25	28				24	22	36				5	3	2	20	0.3
198	4	20	7Б	2Е	1С				1	26	26	26	28				24	24	32				10	5	2	41	0.7
199	4	21	3Е	2С	4Б	1Ос			1	26	25	28	25	30			24	32	22	40			5	3	2	64	0.8
200	4	22	5Ос	4Б	1Е				1	26	27	24	24				28	20	22				8	5	1	28	0.7
201	4	23	7Ос	3Б					1	29	31	25					36	22					11	5	1	37	0.6
202	4	24	5Б	1Ос	3Е	1С			1	25	25	28	25	26			24	30	24	26			8	4	2	70	0.7
203	4	25	8Ос	2Б					1	28	29	26					36	26					11	5	1	57	0.6
204	4	26																									
205	4	27																									
206	5	1	5Е	2Е	2Б	1Ос			1	27	26	28	27	30			26	30	24	36			5	3	2	59	0.8
207	5	2	6Е	1Б	3Ос				1	27	26	26	30				26	24	36				5	3	2	17	0.8
208	5	3	5Е	4Ос	1Б				1	27	26	29	26				28	32	24				5	3	2	41	0.7
209	5	4	9Е	1Б					1	28	28	27					26	24					5	3	1	105	0.9
210	5	5	5Е	2Е	1Б	2Ос			1	28	27	29	26	29			26	30	24	32			5	3	1	66	0.7
211	5	6	3Е	2Е	3Ос	2Б			1	30	32	26	32	26			36	24	40	24			8	5	1	115	0.4
212	5	7	5Б	3Ос	2Е				1	19	18	22	17				14	20	16				5	2	2	80	0.9
213	5	8	6Ос	4Б					1	21	23	18					20	14					5	3	1	140	0.9
214	5	9	5Ос	3Б	2Е				1	21	24	18	19				24	14	18				5	3	1	53	0.7
215	5	10	8Б	2Ос					1	16	16	17					12	14					4	2	2	26	0.8
216	5	11																							2		
217	5	12																							3		
218	5	13	5Ос	3Б	2Е				1	21	24	18	18				24	14	16				5	3	1	37	0.7
219	5	14	5Е	4Б	1Ос				1	20	19	20	21				18	16	20				3	2	1	35	0.7
220	5	15	5Б	2Ос	3Е				1	19	19	21	18				16	20	18				5	2	2	24	0.8
221	5	16	8Б	2Ос					1	19	18	22					14	20					5	2	2	20	0.8
222	5	17	6Е	4Б					1	20	20	19					18	16					3	2	1	67	0.9
223	5	18	5Ос	3Б	2Е				1	21	24	18	19				24	14	20				5	3	1	21	0.7
224	5	19	6Е	3Б	1Ос				1	20	20	20	21				18	16	20				3	2	1	20	0.7
225	5	20	5Е	3Б	2Ос				1	26	26	25	28				24	22	32				5	3	1	25	0.5
226	5	21	10Ос						1	29	29						32						8	5	1	50	0.8
227	5	22	5Ос	2Б	3Е				1	28	30	25	25				36	22	24				10	5	1	168	0.8
228	5	23	4Е	2Е	3Б	1Ос			1	23	19	24	25	28			18	26	24	36			4	2	2	37	0.7
229	5	24	4Е	2Е	3Б	1Ос			1	23	19	24	25	28			18	26	24	36			4	2	2	46	0.7
230	5	25	6Е	3Ос	1Б				1	28	27	29	26				28	32	24				5	3	1	75	0.8
231	5	26	7Б	2Ос	1Е				1	16	16	18	16				12	14	12				4	2	2	75	0.8
232	5	27	4Е	2Е	3Б	1Ос			1	23	19	24	25	28			18	26	24	36			4	2	2	46	0.7
233	5	28	8Ос	2Б					1	22	23	18					20	14					5	3	1	14	0.8
234	5	29	5Б	2Ос	3Е				1	14	15	15	13				10	12	12				3	2	2	61	0.9
235	5	30	6Б	2Ос	1Е	1С			1	26	25	28	25	27			26	22	24	30			11	5	2	25	0.5
236	5	31	5Б	2Ос	3Е				1	25	25	27	25				24	28	26				8	4	2	28	0.4
237	5	32	5Е	3Олс	2Б				1	5	4	6	6				4	4	4				1	1	3	4	0.7
238	5	33	5Е	1С	4Б				1	26	26	26	25				24	26	22				4	2	1	18	0.7
239	5	34	4Е	2Е	2Ос	2Б			1	27	26	29	29	26			26	32	36	24			5	3	1	29	0.6
240	5	35	6Е	2Б	2Ос				1	26	25	25	28				24	24	32				5	3	2	185	0.8
241	5	36	6Ос	1Б	3Е				1	26	29	26	21				32	24	20				10	5	1	13	0.7
242	5	37	5Е	3Ос	2Б				1	25	23	28	25				22	32	24				5	3	2	167	0.7
243	5	38	5Е	4Ос	1Б				1	27	25	29	25				24	32	22				5	3	2	33	0.7
244	5	39	6Ос	2Б	2Е				1	27	29	26	21				32	24	20				9	5	1	43	0.7
245	5	40	5Е	3Б	2Ос				1	17	16	18	20				14	14	20				3	2	2	170	0.9
246	5	41	5Ос	2Б	3Е				1	18	20	18	15				20	14	14				5	3	2	51	0.9
247	5	42	5Е	3Б	2Ос				1	15	14	15	16				12	10	12				3	2	3	70	0.8
248	5	43																									
249	5	44																									
250	6	1	5Е	3Ос	2Б				1	10	10	10	10				8	6	6				2	1	2	54	0.8
251	6	2	4Б	3Ос	3Е				1	9	10	10	8				6	6	6				2	1	2	18	1.0
252	6	3	5С	2Е	2Б	1Ос			1	27	29	25	25	29			32	24	24	32			7	4	2	17	0.4
253	6	4	5С	1Е	2Б	2Ос			1	27	27	24	25	28			32	24	24	40			7	4	2	23	0.6
254	6	5	4Б	3Ос	2С	1Е			1	27	25	28	28	27			24	36	30	28			11	5	2	84	0.5
255	6	6	5Ос	4Б	1Е				1	17	18	17	16				18	14	14				5	3	2	99	0.9
256	6	7	6Е	2Б	2Ос				1	11	11	12	12				10	8	8				2	1	2	39	0.8
257	6	8	4Ос	2Б	2С	2Е			1	30	32	26	30	30			40	26	32	32			12	5	1	88	0.4
258	6	9	8Е	1Б	1Ос				1	14	14	14	14				14	10	10				2	1	2	30	0.7
259	6	10	6Ос	3Б	1Е				1	27	28	25	25				30	22	24				7	4	1	67	0.7
260	6	11	6С	3Е	1Б				1	29	30	29	26				36	32	26				9	5	2	78	0.6
261	6	12	3Е	2Е	2С				1	27	28	24	28				32	24	32				8	5	2	42	0.5
262	6	13																							2		
263	6	14	6Е	3Б	1Ос				1	16	16	16	16				14	10	12				3	2	1	22	0.7
264	6	15	2Е	2Е	1С	3Б	2Ос		1	26	27	23	27	25	29		28	24	30	26	36		7	4	2	20	0.5
265	6	16	3Е	2Е	3С				1	27	28	24	28				32	24	32				8	5	2	50	0.5
266	6	17	6С	2Е	1Б				1	29	30	27	27				36	28	26				8	5	2	53	0.6
267	6	18	6Е	3Б	1Ос				1	25	25	24	26				24	22	28				5	3	2	23	0.7
268	6	19	4Б	2Ос	2Олс	2Е			1	2	2.0	2.0	2.0	3						2			1	1	2	2	0.6
269	6	20	6Ос	4Б					1	19	20	18					18	14					5	3	1	101	0.9
270	6	21	5Е	5Б					1	24	24	24					24	22					5	3	2	5	0.3
271	6	22	5Е	3Е	1Б	1Ос			1	27	29	25	25	29			32	24	24	30			7	4	2	95	0.6
272	6	23	4Ос	2Б	4Е				1	26	28	25	25				32	24	26				9	5	1	19	0.6
273	6	24	6Е	3Б	1Ос				1	9	9	10	10				8	6	6				2	1	2	28	0.7
274	6	25	5Е	3Е	1Б	1Ос			1	26	25	28	23	26			28	22	22	28			5	3	2	20	0.5
275	6	26	5Б	2Ос	3Е				1	26	26	28	25				22	28	24				7	3	1	22	0.7
276	6	27	5Е	1С	2Б	2Ос			1	27	27	27	26	29			28	28	24	32			6	4	2	32	0.6
277	6	28	5Ос	2Б	2Е				1	28	30	26	26				40	26	28				10	5	1	159	0.6
278	6	29	5Ос	2Б	2Е				1	28	30	26	26				36	26	28				10	5	1	27	0.6
279	6	30	6Е	2Б	2Ос				1	17	17	16	16				14	14	14				3	2	2	113	1.0
280	6	31	4Ос	2Б	4Е				1	28	32	26	25				40	26	24				14	5	1	54	0.3
281	6	32	4С	2Е	2Б	2Ос			1	25	25	23	24	28			32	22	22	32			8	5	3	70	0.6
282	6	33	3С	2Е	4Ос	1Б			1	26	26	23	29	22			32	24	36	22			8	5	3	27	0.4
283	6	34	7С	1Е	1Б	1Ос			1	26	26	23	23	28			32	24	24	36			8	5	3	41	0.6
284	6	35	6Ос	1Б	2С	1Е			1	29	30	25	28	24			40	24	32	24			12	5	1	97	0.6
285	6	36	3Е	2Е	2С	2Б	1Ос		1	25	23	26	27	24	29		24	28	32	24	36		5	3	2	94	0.6
286	6	37	7Ос	1Б	2Е				1	29	31	25	25				40	26	26				12	5	1	26	0.5
287	6	38	6Е	2Е	2Б				1	23	22	26	22				24	28	20				4	2	2	40	0.7
288	6	39	3Е	2Е	3С	2Б			1	27	28	24	29	25			32	24	32	24			7	4	2	105	0.6
289	6	40	5Б	2Ос	1Е				1	25	24	28	24				22	32	24				8	4	2	75	0.7
290	6	41	6Е	1С	2Ос	1Б			1	27	26	27	29	25			26	28	32	24			6	4	2	30	0.7
291	6	42	5Ос	3Б	2Е				1	27	28	25	25				32	24	24				9	5	1	37	0.7
292	6	43	5Е	3Б	2Ос				1	12	10	13	14				10	8	8				2	1	2	69	0.8
293	6	44	4С	4Е	2Б				1	27	28	26	26				30	26	24				7	4	2	47	0.7
294	6	45	5Ос	2Б	2Е				1	28	29	26	26				36	24	26				10	5	1	100	0.5
295	6	46	5Е	3Ос	2Б				1	26	25	28	25				24	28	24				5	3	2	113	0.5
296	6	47	3С	2Е	3Б				1	24	23	22	24				24	20	20				4	2	1	103	0.8
297	6	48	3Е	2Е	3Ос	2Б			1	26	23	26	29	26			24	28	32	24			4	2	2	88	0.8
298	6	49	4Е	1С	3Б	2Ос			1	24	23	25	24	26			22	26	20	26			4	2	1	57	0.7
299	6	50	4Ос	3Б	2Е				1	26	28	25	24				30	22	24				8	5	1	72	0.8
300	6	51	4Б	3Ос	3Е				1	26	26	28	25				24	32	24				9	4	2	40	0.6
301	6	52	5Ос	2Б	3Е				1	28	30	26	26				36	24	26				9	5	1	84	0.7
302	6	53	5Ос	2Б	2Е				1	29	32	26	26				40	26	26				12	5	1	104	0.5
303	6	54	5Е	3Б	2Ос				1	22	21	22	24				20	18	24				4	2	2	29	0.8
304	6	55	3Е	2С	3Б	2Ос			1	24	23	24	23	25			22	24	20	26			4	2	1	28	0.7
